[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 108: was 0x00000007fef02ec8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.security.SecureClassLoader archived mirror 0x00000007fef02ec8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 320: was 0x00000007fef09080
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.ReflectiveOperationException archived mirror 0x00000007fef09080
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 153: was 0x00000007fef04178
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.ClassNotFoundException archived mirror 0x00000007fef04178
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 154: was 0x00000007fef041f8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 139: was 0x00000007fef03b88
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.Record archived mirror 0x00000007fef03b88
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 158: was 0x00000007fef04378
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.LinkageError archived mirror 0x00000007fef04378
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 167: was 0x00000007fef047b0
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.NoClassDefFoundError archived mirror 0x00000007fef047b0
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 152: was 0x00000007fef04100
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.ClassCastException archived mirror 0x00000007fef04100
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 151: was 0x00000007fef04088
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.ArrayStoreException archived mirror 0x00000007fef04088
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 170: was 0x00000007fef04918
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.VirtualMachineError archived mirror 0x00000007fef04918
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 739: was 0x00000007fef144b0
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored [Ljava.lang.VirtualMachineError; archived mirror 0x00000007fef144b0
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 166: was 0x00000007fef04738
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.InternalError archived mirror 0x00000007fef04738
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][debug] Clearing root 169: was 0x00000007fef048a0
[2024-08-23T12:45:11.294+0530][1.935s][98688][9731][trace] Restored java.lang.OutOfMemoryError archived mirror 0x00000007fef048a0
